ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
R-HSA-70635,Urea cycle,2/17,10/11146,0.2,131.1294117647059,16.089675356454546,9.782811989238096e-5,0.00714145275214381,0.003398239954156391,ASL/SLC25A15,2,Rpost_18,Üre döngüsü
R-HSA-9840310,Glycosphingolipid catabolism,2/17,39/11146,0.05128205128205128,33.62292609351432,7.976148952238057,0.0015695459411479754,0.0572884268519011,0.02726053476730694,ARSD/GBA3,2,Rpost_18,Glikosfingolipit katabolizması
R-HSA-983712,Ion channel transport,3/17,186/11146,0.016129032258064516,10.57495256166983,5.146645461353095,0.0026169532071977732,0.06282021347577861,0.02989281967845269,ATP6V0A4/TPCN1/TRPM7,3,Rpost_18,İyon kanalı taşınımı
R-HSA-1660662,Glycosphingolipid metabolism,2/17,58/11146,0.034482758620689655,22.608519269776878,6.4483532657678975,0.0034422034781248557,0.06282021347577861,0.02989281967845269,ARSD/GBA3,2,Rpost_18,Glikosfingolipit metabolizması
R-HSA-425407,SLC-mediated transmembrane transport,3/17,250/11146,0.012,7.867764705882354,4.2922824288426575,0.006006851359944684,0.07750528395249823,0.03688066864358243,SLC1A1/SLC44A1/SLC6A3,3,Rpost_18,SLC aracılı transmembran taşınım
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",2/17,84/11146,0.023809523809523808,15.610644257703079,5.253256523127068,0.007092288491667601,0.07750528395249823,0.03688066864358243,SLC44A1/SLC6A3,2,Rpost_18,"Safra tuzları, organik asitler, metal iyonları ve amin bileşiklerinin taşınımı"
R-HSA-112315,Transmission across Chemical Synapses,3/17,270/11146,0.011111111111111112,7.284967320261438,4.085890582746704,0.00743201352969161,0.07750528395249823,0.03688066864358243,GRIN1/SLC1A1/SLC6A3,3,Rpost_18,
R-HSA-5619102,SLC transporter disorders,2/17,98/11146,0.02040816326530612,13.380552220888354,4.811136151658185,0.009549731398309492,0.07793369495269442,0.03708452679796562,SLC1A1/SLC6A3,2,Rpost_18,SLC taşıyıcı bozuklukları
R-HSA-428157,Sphingolipid metabolism,2/17,106/11146,0.018867924528301886,12.37069922308546,4.597185133341539,0.011101562550863382,0.07793369495269442,0.03708452679796562,ARSD/GBA3,2,Rpost_18,Sfingolipit metabolizması
R-HSA-2672351,Stimuli-sensing channels,2/17,109/11146,0.01834862385321101,12.030221262817053,4.522810356124703,0.011710498143694487,0.07793369495269442,0.03708452679796562,TPCN1/TRPM7,2,Rpost_18,Uyaran algılayıcı kanallar
